10:31:02.354 INFO  Helper.LogHelper Railway.test - TC01 - Login successfully with valid credentials
10:31:02.365 INFO  Helper.LogHelper Railway.test - null
10:31:02.375 INFO  Helper.LogHelper Railway.test - 
10:49:34.665 INFO  Helper.LogHelper Railway.test - TEST SANDBOX
10:49:34.675 INFO  Helper.LogHelper Railway.test - null
10:49:34.682 INFO  Helper.LogHelper Railway.test - 
10:56:55.883 INFO  Helper.LogHelper Railway.test - 
10:58:28.486 INFO  Helper.LogHelper Railway.test - Thankful Thursday
10:58:28.501 INFO  Helper.LogHelper Railway.test - 
10:59:11.930 INFO  Helper.LogHelper Railway.test - Thankful Thursday
10:59:11.944 INFO  Helper.LogHelper Railway.test - 
